Player ID,First Name,Last Name,Team ID,Team Abbreviation,Headshot,Sweater Number,Position,Goals,Assists,Points,Games Played,Plus/Minus
8479414,Nathan,Bastian,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479414.png,14,R,31,32,63,229,-14
8479407,Jesper,Bratt,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479407.png,63,L,141,253,394,499,-13
8481032,Paul,Cotter,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481032.png,47,C,29,28,57,166,-17
8475413,Justin,Dowling,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475413.png,37,C,9,13,22,116,-18
8475287,Erik,Haula,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475287.png,56,L,147,180,327,718,51
8480002,Nico,Hischier,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8480002.png,13,C,151,229,380,480,22
8481559,Jack,Hughes,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481559.png,86,C,125,189,314,334,-39
8477508,Curtis,Lazar,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477508.png,42,C,46,76,122,536,-25
8481594,Nathan,Legare,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481594.png,16,R,0,0,0,1,0
8477073,Kurtis,MacDermid,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477073.png,23,L,11,20,31,277,-27
8478414,Timo,Meier,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8478414.png,28,R,199,202,401,568,-57
8482110,Dawson,Mercer,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8482110.png,91,C,70,75,145,274,-21
8476474,Stefan,Noesen,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8476474.png,11,R,71,78,149,394,21
8476292,Ondrej,Palat,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8476292.png,18,L,165,320,485,775,141
8475193,Tomas,Tatar,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475193.png,90,L,223,265,488,879,49
8480084,Nick,DeSimone,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8480084.png,57,D,2,5,7,38,-1
8475455,Brenden,Dillon,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475455.png,5,D,38,164,202,920,71
8476462,Dougie,Hamilton,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8476462.png,7,D,147,335,482,799,68
8481701,Santeri,Hatakka,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481701.png,82,D,0,4,4,21,0
8482684,Luke,Hughes,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8482684.png,43,D,10,47,57,103,-25
8480192,Johnathan,Kovacevic,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8480192.png,8,D,10,28,38,171,29
8477488,Brett,Pesce,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477488.png,22,D,39,160,199,646,90
8478399,Jonas,Siegenthaler,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8478399.png,71,D,9,55,64,340,28
8474596,Jake,Allen,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8474596.png,34,G,0,6,0,438,0
8474593,Jacob,Markstrom,1,NJD,https://assets.nhle.com/mugs/nhl/20242025/NJD/8474593.png,25,G,0,19,0,504,0
8478445,Mathew,Barzal,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8478445.png,13,C,130,317,447,510,-3
8475231,Casey,Cizikas,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475231.png,53,C,108,139,247,841,10
8477407,Anthony,Duclair,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477407.png,11,L,148,158,306,568,39
8478115,Pierre,Engvall,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8478115.png,18,L,60,65,125,334,29
8477392,Hudson,Fasching,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477392.png,20,R,15,21,36,140,-4
8481601,Simon,Holmstrom,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8481601.png,10,R,28,20,48,151,-4
8477500,Bo,Horvat,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477500.png,14,C,246,275,521,758,-67
8475314,Anders,Lee,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475314.png,27,L,271,202,473,785,23
8481237,Kyle,MacLean,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8481237.png,32,C,5,7,12,58,-2
8474709,Matt,Martin,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8474709.png,17,L,81,96,177,970,-37
8475754,Brock,Nelson,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475754.png,29,C,285,263,548,866,8
8476419,Jean-Gabriel,Pageau,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8476419.png,44,C,150,184,334,742,8
8475151,Kyle,Palmieri,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475151.png,21,C,256,243,499,844,-6
8484958,Maxim,Tsyplakov,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8484958.png,7,R,3,10,13,26,3
8480789,Oliver,Wahlstrom,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8480789.png,26,R,35,35,70,215,-12
8479395,Dennis,Cholowski,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8479395.png,25,D,12,24,36,134,-46
8480865,Noah,Dobson,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8480865.png,8,D,41,161,202,343,4
8483448,Isaiah,George,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8483448.png,36,D,0,3,3,14,-3
8480306,Grant,Hutton,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8480306.png,34,D,1,2,3,28,2
8476429,Scott,Mayfield,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8476429.png,24,D,26,95,121,495,19
8476917,Adam,Pelech,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8476917.png,3,D,26,118,144,511,72
8477506,Ryan,Pulock,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477506.png,6,D,48,151,199,512,57
8476422,Mike,Reilly,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8476422.png,2,D,18,104,122,411,-10
8481014,Alexander,Romanov,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8481014.png,28,D,13,52,65,305,29
8478009,Ilya,Sorokin,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8478009.png,30,G,0,3,0,208,0
8473575,Semyon,Varlamov,2,NYI,https://assets.nhle.com/mugs/nhl/20242025/NYI/8473575.png,40,G,0,8,0,621,0
8482132,Brett,Berard,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482132.png,65,L,1,1,2,4,-1
