Player ID,First Name,Last Name,Team Abbreviation,Sweater Number,Position,Goals,Assists,Points,Games Played,Plus/Minus
8481035,Samuel,Ersson,PHI,33,G,0,0,0,74,0
8478905,Ivan,Fedotov,PHI,82,G,0,0,0,11,0
8482783,Aleksei,Kolosov,PHI,35,G,0,0,0,6,0
8478569,Noel,Acciari,PIT,55,C,65,47,112,463,-28
8478463,Anthony,Beauvillier,PIT,72,L,122,133,255,574,-21
8478047,Michael,Bunting,PIT,8,L,80,108,188,291,20
8471675,Sidney,Crosby,PIT,87,C,600,1019,1619,1296,209
8479996,Cody,Glass,PIT,19,C,29,46,75,201,-8
8475763,Kevin,Hayes,PIT,13,R,172,248,420,729,-31
8481481,Blake,Lizotte,PIT,46,C,40,69,109,328,35
8471215,Evgeni,Malkin,PIT,71,C,503,814,1317,1169,40
8476442,Matt,Nieto,PIT,83,L,86,117,203,679,-59
8482055,Drew,O'Connor,PIT,10,L,27,30,57,181,-5
8479344,Jesse,Puljujarvi,PIT,18,R,57,69,126,376,5
8476483,Rickard,Rakell,PIT,67,R,209,253,462,745,-17
8475810,Bryan,Rust,PIT,17,R,179,204,383,584,45
8481577,Philip,Tomasino,PIT,53,C,23,48,71,160,0
8477435,Ryan,Graves,PIT,27,D,31,83,114,392,86
8476891,Matt,Grzelcyk,PIT,24,D,25,118,143,469,125
8474578,Erik,Karlsson,PIT,65,D,191,641,832,1026,-112
8471724,Kris,Letang,PIT,58,D,168,580,748,1108,87
8477969,Marcus,Pettersson,PIT,28,D,15,128,143,468,69
8483503,Owen,Pickering,PIT,38,D,0,1,1,4,0
8478854,Ryan,Shea,PIT,5,D,1,1,2,40,-2
8481030,Jack,St. Ivany,PIT,3,D,0,2,2,32,-2
8477465,Tristan,Jarry,PIT,35,G,1,10,0,264,0
8477968,Alex,Nedeljkovic,PIT,39,G,0,3,0,152,0
8481556,John,Beecher,BOS,19,C,9,7,16,75,-4
8479638,Justin,Brazeau,BOS,55,R,10,7,17,41,-1
8475745,Charlie,Coyle,BOS,13,C,176,279,455,891,46
8479365,Trent,Frederic,BOS,11,C,50,50,100,304,22
